title,text,label
"Government releases annual public health report","The ministry of health released its annual report summarizing vaccination progress hospital staffing and disease surveillance trends across the country.",REAL
"City opens new water treatment plant","Officials inaugurated a new water treatment facility designed to improve drinking water quality for nearby neighborhoods after two years of construction.",REAL
"University researchers publish climate study","A team of university scientists published peer reviewed findings showing changes in rainfall patterns across coastal districts over the last decade.",REAL
"Local school board approves budget","School board members voted to approve the next academic year budget with increased funding for teacher training libraries and student counseling services.",REAL
"Central bank keeps interest rates steady","The central bank announced that interest rates would remain unchanged after reviewing inflation data employment indicators and consumer spending reports.",REAL
"Railway announces festival special trains","The railway department scheduled additional trains for the holiday season to manage passenger demand and reduce congestion on popular routes.",REAL
"Hospital launches mobile screening van","A district hospital introduced a mobile health van that will provide blood pressure diabetes and anemia screening in rural villages.",REAL
"Parliament committee reviews clean energy bill","Lawmakers discussed amendments to a clean energy proposal focused on solar incentives grid modernization and emissions reporting.",REAL
"Farmers receive weather advisory for monsoon","Agricultural officers issued guidance on crop planning fertilizer use and drainage management based on expected monsoon rainfall patterns.",REAL
"Census office starts digital survey campaign","The national census office began a digital awareness campaign encouraging households to verify information before submitting online forms.",REAL
"Scientists test biodegradable food packaging","Researchers developed a biodegradable packaging material from plant fibers and reported improved durability in laboratory tests.",REAL
"Public library expands reading program","The city library launched a reading initiative for teenagers offering weekend workshops author talks and free membership drives.",REAL
"Electric bus fleet begins trial service","Transport authorities started a pilot program using electric buses on two city routes to measure battery performance and commuter feedback.",REAL
"Court issues order on river pollution case","A high court directed regional agencies to submit compliance reports on industrial discharge limits and river cleanup measures.",REAL
"Health department confirms measles vaccination drive","Officials confirmed a week long immunization campaign targeting children in areas where routine vaccine coverage had dropped.",REAL
"Technology ministry funds cyber safety labs","The government approved grants for university cyber safety labs that will focus on digital fraud detection and secure communication tools.",REAL
"Airport introduces biometric boarding","Airport authorities rolled out biometric boarding at select gates to shorten queues and improve passenger verification processes.",REAL
"Researchers present low cost irrigation device","Engineering students presented a low cost irrigation controller that automatically adjusts water flow based on soil moisture levels.",REAL
"State announces scholarships for nursing students","The state education department announced merit scholarships to increase enrollment in nursing colleges and allied health institutes.",REAL
"Meteorological office updates heatwave warning","The weather agency issued an updated advisory asking schools hospitals and local bodies to follow heat action plans during peak afternoon hours.",REAL
"Wildlife department tracks migratory birds","Forest officials published seasonal observations on migratory bird arrivals recorded across wetlands with help from volunteer groups.",REAL
"Finance ministry releases tax filing deadline notice","Authorities reminded citizens of the updated tax filing timeline and published a checklist for digital document submission.",REAL
"District starts waste segregation campaign","Municipal workers and resident groups began a neighborhood level waste segregation campaign with door to door awareness visits.",REAL
"Researchers report progress in battery recycling","A materials science team reported improved recovery rates for lithium and nickel using a new battery recycling process.",REAL
"State health lab confirms safe drinking water levels","Routine tests from a state laboratory found that drinking water samples from urban supply zones were within recommended safety limits.",REAL
"Education board publishes revised exam pattern","The education board released a revised exam pattern including more application based questions and clearer marking guidelines.",REAL
"Ministry launches women entrepreneurship portal","A new portal was introduced to help women owned businesses apply for mentorship training and small business support schemes.",REAL
"Port authority upgrades cargo tracking system","The port authority adopted a digital cargo monitoring platform to reduce delays and improve customs coordination.",REAL
"Researchers identify coral recovery signs","Marine biologists documented early signs of coral recovery in protected reef areas following reduced coastal pollution.",REAL
"State nutrition program adds iron rich meals","The school nutrition department updated meal plans to include more iron rich ingredients after a district anemia review.",REAL
"Secret ancient tablet proves world ends next month","A hidden tablet discovered in a remote cave proves the world will end next month according to unnamed insiders who say officials are covering it up.",FAKE
"Celebrity scientist says moon is made of cheese again","A viral post claims a famous scientist admitted the moon is made of cheese and that textbooks hid the truth for decades.",FAKE
"Miracle leaf cures every cancer in 24 hours","Social media users are sharing a rumor that a miracle forest leaf can cure every form of cancer overnight and hospitals want it banned.",FAKE
"Government to replace all jobs with robots by Friday","An anonymous message says the government secretly plans to replace every office worker with robots before the end of the week.",FAKE
"Drinking hot soda removes all body toxins instantly","Posts online falsely claim that drinking hot soda every morning will flush every toxin from the body within minutes.",FAKE
"Aliens sign tourism deal with mountain village","Sensational blogs report that aliens landed near a mountain village and signed a tourism agreement with local leaders during the night.",FAKE
"Hidden law lets citizens avoid paying any bills","A fabricated article claims a secret law allows citizens to legally stop paying electricity rent and internet bills without penalty.",FAKE
"Magic coin doubles bank balance overnight","A scam style post promises that placing a special coin under a pillow will mysteriously double a person bank balance by sunrise.",FAKE
"Scientists confirm clouds are government machines","Conspiracy pages claim new evidence proves that all clouds are artificial government machines used for population control.",FAKE
"Actor becomes prime minister in surprise midnight oath","Unverified accounts say a movie actor was sworn in as prime minister at midnight during a ceremony hidden from all media organizations.",FAKE
"Plastic rice returns and glows in the dark","Rumor posts claim markets are selling glowing plastic rice that can jump off plates and survive boiling water unchanged.",FAKE
"Phone flashlight can detect every hidden disease","Misleading messages say a phone flashlight test can detect every disease instantly by changing skin color under the light.",FAKE
"Secret volcano under capital city ready to erupt tomorrow","False reports on video platforms claim a secret volcano beneath the capital will erupt tomorrow and swallow government buildings.",FAKE
"Bank announces free money giveaway for first million clicks","Spam websites falsely say a national bank will transfer free money to anyone who clicks a shared link before midnight.",FAKE
"Eating silver paper makes memory perfect forever","A made up wellness story claims chewing silver wrapping paper improves memory forever and is recommended by elite brain clinics.",FAKE
"Hidden camera found inside every ceiling fan","A viral conspiracy video alleges that manufacturers secretly place government cameras inside every ceiling fan sold this year.",FAKE
"Weather department predicts nonstop darkness for 10 days","Fabricated messages say the country will face ten days of complete darkness due to a mysterious space event ignored by news channels.",FAKE
"Doctors hate this one spoon trick for instant weight loss","Clickbait posts promise that one spoon of a secret kitchen mixture melts fat instantly and doctors are afraid people will learn it.",FAKE
"Parliament bans homework for all students forever","Satirical style posts are being shared as fact claiming parliament permanently banned homework in all schools nationwide.",FAKE
"Scientists discover invisible city under airport runway","A hoax article alleges construction crews found an invisible ancient city under an airport runway and authorities sealed the area.",FAKE
"Secret billionaire offers private island to random email users","Scam emails claim a billionaire will gift a private island to random people who reply with bank details immediately.",FAKE
"New app reads minds through headphone wires","Misleading posts claim a new mobile app can read human thoughts directly through headphone cables without any sensor hardware.",FAKE
"Tap water turns into fuel after adding salt","False content online says normal tap water becomes car fuel after adding table salt and shaking the bottle three times.",FAKE
"Museum dinosaur skeleton roars every midnight","A fabricated entertainment story says a dinosaur skeleton in a museum comes alive and roars every midnight during storms.",FAKE
"Hidden button on TV remote prints free cash","Clickbait videos falsely claim pressing a secret remote control button makes nearby ATM machines release free cash.",FAKE
"Government confirms giant spider rain next week","A fake article claims meteorologists warned of giant spiders falling from the sky next week and advised families to stay indoors.",FAKE
"Eating only ice cream boosts exam marks by 50 percent","A bogus student rumor says switching to an all ice cream diet for one week improves exam marks by exactly fifty percent.",FAKE
"Secret satellite can read thoughts from kitchen windows","Conspiracy channels claim a secret satellite now reads thoughts through kitchen windows using classified microwave waves.",FAKE
"Doctors replace vaccines with garlic smoke treatment","Fabricated health posts state that hospitals have quietly replaced vaccines with garlic smoke therapy after a hidden study.",FAKE
"Airport runway opens portal to another country","A hoax travel article says a runway light pattern opened a portal that allowed passengers to walk directly into another country.",FAKE
